# traces-reference.txt -- Phase 10a item 5 (OpenTelemetry, F40)
# source file: observability/otel/traces/traces.jsonl
# spans found: 642

# service | span name | trace_id | decision_id | action_execution_id | actor_id
decision_service | decision_service.propose | a8666858424ec748e01391b68f49548d | D-e374a0fc346949efb9e3 | None | planner-1
decision_service | decision_service.execute | c13e4b5a958f821a8235d55cc8049e87 | D-e374a0fc346949efb9e3 | AX-D-e374a0fc346949efb9e3 | None
decision_service | decision_service.propose | 23aadd5cad217078dd6b036ab519b64a | D-39ed99edede841e9934f | None | planner-1
decision_service | decision_service.execute | a44a9091a03ba23e6e14bb3dc5b92ca0 | D-39ed99edede841e9934f | AX-D-39ed99edede841e9934f | None
decision_service | decision_service.execute | 10602d1c0512330b667bd77909b10f90 | D-39ed99edede841e9934f | AX-D-39ed99edede841e9934f | None
decision_service | decision_service.propose | 4cdf519a8b79b565f15de4dd07ad6a65 | D-2ec3d6a625114c8fab2a | None | planner-1
decision_service | decision_service.execute | 47c2faace9c0e586a650182f8b7b408a | D-2ec3d6a625114c8fab2a | AX-D-2ec3d6a625114c8fab2a | None
decision_service | decision_service.execute | c741a5222b489463d0b2d7b7acaeefa1 | D-2ec3d6a625114c8fab2a | AX-D-2ec3d6a625114c8fab2a | None
decision_service | decision_service.execute | e39c44e3ef0b4784aa9889c17e34aa22 | D-2ec3d6a625114c8fab2a | AX-D-2ec3d6a625114c8fab2a | None
decision_service | decision_service.execute | 3464345d6fb510d0f49f1ecd4dc77b32 | D-2ec3d6a625114c8fab2a | AX-D-2ec3d6a625114c8fab2a | None
decision_service | decision_service.execute | 4e97c9ae6dc42ed038f5e0180debab3c | D-2ec3d6a625114c8fab2a | AX-D-2ec3d6a625114c8fab2a | None
decision_service | decision_service.execute | 9daa66166833d1dc2e9cccde58b8b2ac | D-2ec3d6a625114c8fab2a | AX-D-2ec3d6a625114c8fab2a | None
decision_service | decision_service.execute | f2f80ce39d55cab305b2894c9e5b43a0 | D-2ec3d6a625114c8fab2a | AX-D-2ec3d6a625114c8fab2a | None
decision_service | decision_service.execute | bb468158534e6dab6855d38feffa1dcf | D-2ec3d6a625114c8fab2a | AX-D-2ec3d6a625114c8fab2a | None
decision_service | decision_service.propose | efb6586ed695bab6f4a6445026152014 | D-fe23050386064519b090 | None | planner-1
decision_service | decision_service.execute | 91d48e8209a32abce9963059317f60c6 | D-fe23050386064519b090 | AX-D-fe23050386064519b090 | None
decision_service | decision_service.propose | d310d353f02df0d7afcf51c99a52478d | D-24a02d8789524b91bc5a | None | planner-1
decision_service | decision_service.execute | 6866b83c2ea04bd66f79da9eb8a47eac | D-24a02d8789524b91bc5a | AX-D-24a02d8789524b91bc5a | None
decision_service | decision_service.propose | ac031f420116d220add37b985784cc96 | D-1043d3a032954450bf82 | None | planner-1
decision_service | decision_service.execute | 95cf7b38d22e944af55db1adab8d8870 | D-1043d3a032954450bf82 | AX-D-1043d3a032954450bf82 | None
decision_service | decision_service.propose | 4ad47df5a93d334be1f3d9377d344485 | D-74984d72abd84089a62d | None | planner-1
decision_service | decision_service.execute | f7571c17b1279e5b88bcbf17a2a44e46 | D-74984d72abd84089a62d | AX-D-74984d72abd84089a62d | None
decision_service | decision_service.propose | 1bdb5b43cc73a758c864d12cd9253edd | D-2aa713f03e834b08a78b | None | planner-1
decision_service | decision_service.approve | 0df5ddac7c4aa79ce677e57ce6b1470a | D-2aa713f03e834b08a78b | None | None
decision_service | decision_service.approve | f9c10b04528e11e7b9d0903efb676cce | D-2aa713f03e834b08a78b | None | None
decision_service | decision_service.approve | 8ed34bde030c562ff633bdc72d9469a1 | D-2aa713f03e834b08a78b | None | None
decision_service | decision_service.propose | 53533ac61dbb86362aec39a47964ff7c | D-4108d5d7418a4311ab86 | None | planner-1
decision_service | decision_service.execute | 39caa3390c06075f41e9bb43acd88286 | D-4108d5d7418a4311ab86 | AX-D-4108d5d7418a4311ab86 | None
decision_service | decision_service.propose | 5cb304679830a0a6084f4374899fec8d | D-2ba24f1c0c9e4523ad61 | None | planner-1
decision_service | decision_service.execute | 066268e21afae39786632d7a6af1990e | D-2ba24f1c0c9e4523ad61 | AX-D-2ba24f1c0c9e4523ad61 | None
decision_service | decision_service.propose | e9b8b9a1910bfc0d952eb477e2220058 | D-1d864f4a152f465a9bad | None | agent-1
decision_service | decision_service.propose | 1bf94e1dc56591a1d55a190262bca07a | D-85ee97a0e2db414ab89e | None | agent-1
decision_service | decision_service.execute | d1768e3a45328664b9b7e5f5f6611680 | D-85ee97a0e2db414ab89e | None | None
decision_service | decision_service.propose | 31d4d5c2660886ae681e94f445da2f71 | D-88cce021a78f4be5bb7d | None | agent-1
decision_service | decision_service.propose | f6972e7a5b7be335ce1252b6c5eae51b | D-4e85d94da50f4520a89f | None | agent-1
decision_service | decision_service.propose | b56e55e9b8d99159d5b758fbb6210378 | D-d8ea762d82fb4f178fff | None | agent-1
decision_service | decision_service.propose | baf7c0bb7ffb16e7d862c1ac7337d31c | D-cc5227fdc1644548b57b | None | agent-1
decision_service | decision_service.execute | 30ada92a01f683506673353505b5f573 | D-cc5227fdc1644548b57b | None | None
decision_service | decision_service.propose | d6f1d7dd0a89a1336c0aa94a5118813b | D-7df58d23d9af402f9007 | None | planner-1
decision_service | decision_service.approve | 9242d8d1b0e7d5f3d52515676d37d5ea | D-7df58d23d9af402f9007 | None | None
decision_service | decision_service.approve | f36dd98f7f89f9993056311e76f552ac | D-7df58d23d9af402f9007 | None | None
decision_service | decision_service.propose | f9d7cf96a3316680082e2966fe407443 | D-67cfe1af35244adf9735 | None | planner-1
decision_service | decision_service.propose | 1c35fd21beea0b108c941c174756f568 | D-7b801122e0d5421c8b8a | None | planner-1
decision_service | decision_service.approve | 8d768a4c867eae55b96a6eca92db4ac9 | D-67cfe1af35244adf9735 | None | None
decision_service | decision_service.propose | 4ac7dbd300e49a5b59e3a51d358e9503 | D-46e9ac1bf17c4d1b9764 | None | planner-1
decision_service | decision_service.propose | 365ba4a95c47e5a343ae4527b0e99269 | D-d2015dcf86f14bb2a552 | None | planner-1
decision_service | decision_service.execute | 8743f8775711aea01aa0310a58e6c058 | D-d2015dcf86f14bb2a552 | AX-D-d2015dcf86f14bb2a552 | None
decision_service | decision_service.execute | fc4bea888cd4bf7116bd4d2b54824ebf | D-d2015dcf86f14bb2a552 | AX-D-d2015dcf86f14bb2a552 | None
decision_service | decision_service.propose | cade8a5feb97a4ddd5d781272ec614cb | D-50d3d980033a4de1aeb6 | None | planner-1
decision_service | decision_service.execute | 0feaacf235b4554bb1a41c7fad0ce183 | D-50d3d980033a4de1aeb6 | AX-D-50d3d980033a4de1aeb6 | None
decision_service | decision_service.execute | 878d571948085a4f8935f84577e96f9b | D-50d3d980033a4de1aeb6 | AX-D-50d3d980033a4de1aeb6 | None
decision_service | decision_service.propose | 13e505a3f2c6e63edbed440a85bbd31b | D-61b52f392b1949d99ccf | None | planner-1
decision_service | decision_service.approve | 716a95e857b428564720e60eae7c516c | D-61b52f392b1949d99ccf | None | None
decision_service | decision_service.propose | 31a127807c0b8b9074a0242652eae387 | D-165374267646454b9eba | None | planner-1
decision_service | decision_service.approve | 5bb47748aa1ab602523557a950fc8519 | D-165374267646454b9eba | None | None
decision_service | decision_service.propose | e3c78a06a6e9c05ac7bd46b836281b00 | D-3184e5cc462e4dc3b7cd | None | planner-1
decision_service | decision_service.approve | a232d01007cd330ceb43a4df8deb68c8 | D-3184e5cc462e4dc3b7cd | None | None
decision_service | decision_service.propose | a602e240d4dd9915f74bf4ebd858b9ab | D-a7f99e4d444e4bf2a142 | None | planner-1
decision_service | decision_service.execute | 3443eee927b47fe02228a6a35755b98a | D-a7f99e4d444e4bf2a142 | AX-D-a7f99e4d444e4bf2a142 | None
decision_service | decision_service.propose | 48d8c89a912708ec596aace0d6dc60e4 | D-724c94040f604775bc64 | None | planner-1
decision_service | decision_service.execute | f9851fdde45144580a7aa52429fe70e3 | D-724c94040f604775bc64 | AX-D-724c94040f604775bc64 | None
decision_service | decision_service.propose | 23a5430e2861ce19770050a06e421219 | D-dde4a3a512534b579b28 | None | planner-1
decision_service | decision_service.execute | 87afa1bcd7c67a9c1e56d73b232b8687 | D-dde4a3a512534b579b28 | AX-D-dde4a3a512534b579b28 | None
decision_service | decision_service.propose | f083f778816b5019aa19d889e9df5532 | D-6c5b1938923f4d5e8ed1 | None | planner-1
decision_service | decision_service.execute | 0e5162512f7f9c978b48ce3772504f25 | D-6c5b1938923f4d5e8ed1 | AX-D-6c5b1938923f4d5e8ed1 | None
decision_service | decision_service.propose | 1acde43a3f918836659559429f552967 | D-1f95365e59154162b57a | None | planner-1
decision_service | decision_service.propose | 476949ae8fa095fd2d0f330df9ee9646 | D-ad92e159947c415ea003 | None | planner-1
decision_service | decision_service.propose | 5721d40dd4e66620a8ddc252915aae84 | D-6f4ada8978384f16a58f | None | planner-1
decision_service | decision_service.propose | dbfddcaf9c5b17f87d97b0c99a63e27f | D-b8f1a829d241457dbf38 | None | planner-1
decision_service | decision_service.execute | 78fc8ad0703800cd155b0fe218562f75 | D-b8f1a829d241457dbf38 | AX-D-b8f1a829d241457dbf38 | None
decision_service | decision_service.propose | 70e7f9569ed2757b1638654826df9e4b | D-7b82c83a053a4438bc0e | None | planner-1
decision_service | decision_service.propose | 7ae53591589c6b45bd045bc211a26328 | D-6c6efe6627784869ae7c | None | planner-1
decision_service | decision_service.propose | bf913b97020ecff9e6a9d5f4bd2b216c | D-2099752aca4d404d815d | None | planner-1
decision_service | decision_service.propose | 5ceab5d53a571f62cd55c6907bafe3ca | D-e04570b726654caf8245 | None | planner-1
decision_service | decision_service.propose | fc3e6b3aaaa83da88e4b16f69e314f5a | D-dbf23b1e40eb4de9b643 | None | planner-1
decision_service | decision_service.propose | c9769ba7374e68d858b41e2668633342 | D-d2e55dd088754253bb39 | None | planner-1
decision_service | decision_service.propose | 0a6c73786fb338a4b98230a2f9364473 | D-ccccb0a6990c476db873 | None | planner-1
decision_service | decision_service.propose | 0d21510a19fc1fc5596c4796d90b6c7e | D-a1ffacb0cfa84b7592d0 | None | planner-1
decision_service | decision_service.propose | 84595d26fe0d7484e1c5fc4357ac9f2d | D-d551867340bc4bb6a1ae | None | planner-1
decision_service | decision_service.propose | 124624ea60463441e9a108cec9b13e10 | D-fd7eebc13d504362b9d1 | None | planner-1
decision_service | decision_service.propose | f9bebe5003127679c88efc5c4e061bde | D-3e73b7ca5099421795df | None | planner-1
decision_service | decision_service.propose | dd8a81a35e73f9b2b79f856ab0e11ee6 | D-a9ce01726d9c4759887f | None | planner-1
decision_service | decision_service.propose | eb7e9db04799b6e4dced10d23b84fd42 | D-51189cc0eb584481a813 | None | planner-1
decision_service | decision_service.propose | ae7bf3eff9178a4f34ec51be535f19cf | D-3c0ca337645b4732a290 | None | planner-1
decision_service | decision_service.propose | d577c08c7c81757b36a9957e242acafc | D-4e530fe68f6e4461bde4 | None | planner-1
decision_service | decision_service.propose | f42aa9a527f87679aa9aaa67d1cf711c | D-63685742484a4833b4fa | None | planner-1
decision_service | decision_service.execute | d4028a378015229e05025d52cd5f0fd2 | D-63685742484a4833b4fa | AX-D-63685742484a4833b4fa | None
decision_service | decision_service.propose | dc3af244e6b76cc75f3e9ce9a29a05f0 | D-2651e42a786d49d4a901 | None | planner-1
decision_service | decision_service.propose | 46efb1aa061475420a9f67f967f21ef6 | D-a399c415a23f49edbb2a | None | planner-1
decision_service | decision_service.propose | 4672f66b2eee22f8f558be188f1374af | D-cdd5c6c552ba4cf7b146 | None | planner-1
decision_service | decision_service.propose | 0258935dae709e06e4ac7be0fa52fd2e | D-25d5077c55e246fa9d3e | None | planner-1
decision_service | decision_service.execute | 8787823fc61d21df0ebc63e3f7a82ad2 | D-25d5077c55e246fa9d3e | AX-D-25d5077c55e246fa9d3e | None
decision_service | decision_service.propose | ecb63c83e638857db10b945a6bb3adf3 | D-7f140aaec9114d199567 | None | planner-1
decision_service | decision_service.propose | 1c86db2c58464e187fbb2b3225bbd382 | D-105ef7b89d7c452580d5 | None | planner-1
decision_service | decision_service.propose | 8a52258e44efde715d05a5458286b36a | D-f0cf7bc0ce2d4317a067 | None | planner-1
decision_service | decision_service.propose | b80eb62ac754111c47ff674710d7f258 | D-1a9cfb0c57e84a7384a1 | None | planner-1
decision_service | decision_service.propose | c59bf678aeac5e499576413515e71c72 | D-ac48eaf783954d60915a | None | planner-1
decision_service | decision_service.propose | 47d4a8f56fb38c5eea0f6937ed7be0db | D-23ce21d549f7476fa7cc | None | planner-1
decision_service | decision_service.propose | 64753ea75a2c46e99a32916b7eb66703 | D-6bf2079b251245b1a885 | None | planner-1
decision_service | decision_service.propose | 4d724cd41801ef776fcf607638719185 | D-19e1b24355fd43f69fa9 | None | planner-1
decision_service | decision_service.propose | 06698ec4998203cc45baec677e57e5ac | D-15f636009afc44dfb496 | None | planner-1
