# traces-reference.txt -- Phase 10a item 5 (OpenTelemetry, F40)
# source file: observability/otel/traces/traces.jsonl
# spans found: 643

# service | span name | trace_id | decision_id | action_execution_id | actor_id
decision_service | decision_service.propose | feb8cf2c6c6b40e9773258d283568ecf | D-bedf547a93104d808ba6 | None | planner-1
decision_service | decision_service.execute | cf55132b6a5dbbd1a14214b85dd32056 | D-bedf547a93104d808ba6 | AX-D-bedf547a93104d808ba6 | None
decision_service | decision_service.propose | 0d1c0cb079b4cf02c239a7559f202a27 | D-cefae748302b463995f7 | None | planner-1
decision_service | decision_service.execute | e9e45a9f8144ac398d33c4d19ab44693 | D-cefae748302b463995f7 | AX-D-cefae748302b463995f7 | None
decision_service | decision_service.execute | 7e8d9997c125d168adab1c8e2d601467 | D-cefae748302b463995f7 | AX-D-cefae748302b463995f7 | None
decision_service | decision_service.propose | 610fd405e1aa30c2e12ba7e563143d5a | D-296f139ba0ab4d33b356 | None | planner-1
decision_service | decision_service.execute | 97864cbe0ffe3ae1d7fb8d94f75fc99b | D-296f139ba0ab4d33b356 | AX-D-296f139ba0ab4d33b356 | None
decision_service | decision_service.execute | cb0a26e69510129c693ef77165f6db85 | D-296f139ba0ab4d33b356 | AX-D-296f139ba0ab4d33b356 | None
decision_service | decision_service.execute | 55f92c1dca48d7dedefb12bf9235b222 | D-296f139ba0ab4d33b356 | AX-D-296f139ba0ab4d33b356 | None
decision_service | decision_service.execute | 09828608a45ce44a86bf86cc12fbed40 | D-296f139ba0ab4d33b356 | AX-D-296f139ba0ab4d33b356 | None
decision_service | decision_service.execute | f4a86ca81a76f4dcbaeac962f73d5c24 | D-296f139ba0ab4d33b356 | AX-D-296f139ba0ab4d33b356 | None
decision_service | decision_service.execute | 8c53a7f57f51909e97e992ed52f9306e | D-296f139ba0ab4d33b356 | AX-D-296f139ba0ab4d33b356 | None
decision_service | decision_service.execute | 228c342bd5f2211df0f09c920ebe2635 | D-296f139ba0ab4d33b356 | AX-D-296f139ba0ab4d33b356 | None
decision_service | decision_service.execute | 39a8799fc672f86a1805802a38f68ae0 | D-296f139ba0ab4d33b356 | AX-D-296f139ba0ab4d33b356 | None
decision_service | decision_service.propose | 8543f6068a674c39eeff17929a8969e7 | D-c225ff987c2449d7854d | None | planner-1
decision_service | decision_service.execute | 3f7f14df0747bf7570dbbd44762ce449 | D-c225ff987c2449d7854d | AX-D-c225ff987c2449d7854d | None
decision_service | decision_service.propose | bb4af0a1c88c44774eba814ce9006feb | D-5f408b4c5b914a1295f6 | None | planner-1
decision_service | decision_service.execute | 0e16775a87fb6e9a63a4cf13ebace69a | D-5f408b4c5b914a1295f6 | AX-D-5f408b4c5b914a1295f6 | None
decision_service | decision_service.propose | 94a103166cb593ede42f776681cca4df | D-0be26db9f60a43d4868b | None | planner-1
decision_service | decision_service.execute | 6c4fc0844c40abc5d3835f719e033702 | D-0be26db9f60a43d4868b | AX-D-0be26db9f60a43d4868b | None
decision_service | decision_service.propose | b4491f205a049d6774750a9c1f4228c4 | D-3c6e590346a54f6ab11f | None | planner-1
decision_service | decision_service.execute | e62b283a34e4e735fd584f669e67b6e6 | D-3c6e590346a54f6ab11f | AX-D-3c6e590346a54f6ab11f | None
