# traces-reference.txt -- Phase 10a item 5 (OpenTelemetry, F40)
# source file: observability/otel/traces/traces.jsonl
# spans found: 641

# service | span name | trace_id | decision_id | action_execution_id | actor_id
decision_service | decision_service.propose | 124ea6f49b6a1017a55426bb39f6917d | D-7abb18fb283f448e902b | None | planner-1
decision_service | decision_service.execute | 5dd49c48eb2bbd9d3d8d8b8ccf2af0f3 | D-7abb18fb283f448e902b | AX-D-7abb18fb283f448e902b | None
decision_service | decision_service.propose | 0750593d9a9741b6a8b0d30136e1a60f | D-68619101d93f431f8b08 | None | planner-1
decision_service | decision_service.execute | ea66e28670e5f4dd84b28d092bb3b629 | D-68619101d93f431f8b08 | AX-D-68619101d93f431f8b08 | None
decision_service | decision_service.execute | acdb4d1314293741384be96641206565 | D-68619101d93f431f8b08 | AX-D-68619101d93f431f8b08 | None
decision_service | decision_service.propose | d309e724414872897d4cdd272fb8b0d5 | D-d831317a0ce14ec9834e | None | planner-1
decision_service | decision_service.execute | 0eb4ad56fb193516375c936c0e8cc615 | D-d831317a0ce14ec9834e | AX-D-d831317a0ce14ec9834e | None
decision_service | decision_service.execute | 36a353665a96927e791f10dbd28c962a | D-d831317a0ce14ec9834e | AX-D-d831317a0ce14ec9834e | None
decision_service | decision_service.execute | 3374ec35555cd4a40c6f29fc24c88887 | D-d831317a0ce14ec9834e | AX-D-d831317a0ce14ec9834e | None
decision_service | decision_service.execute | aa5ea140a9ffbd268564d77bb7fcac89 | D-d831317a0ce14ec9834e | AX-D-d831317a0ce14ec9834e | None
decision_service | decision_service.execute | 1ad1fc2385f1922585fb5b315ba94cc1 | D-d831317a0ce14ec9834e | AX-D-d831317a0ce14ec9834e | None
decision_service | decision_service.execute | ea37f4197d654db0252c368a4fa700b3 | D-d831317a0ce14ec9834e | AX-D-d831317a0ce14ec9834e | None
decision_service | decision_service.execute | adcc54ff892835f2fc89d4cb19e2ca5d | D-d831317a0ce14ec9834e | AX-D-d831317a0ce14ec9834e | None
decision_service | decision_service.execute | 18d1437f26195bba0d1b262578275789 | D-d831317a0ce14ec9834e | AX-D-d831317a0ce14ec9834e | None
decision_service | decision_service.propose | ca850a34694dcf9699609aff556ddcc6 | D-e9535504432d40369f4c | None | planner-1
decision_service | decision_service.execute | d94f06024e0bde1d83a8979e022d8cd9 | D-e9535504432d40369f4c | AX-D-e9535504432d40369f4c | None
decision_service | decision_service.propose | f4d082d0d5c15d06bebb1a32b6f91917 | D-bc25c65be9994a07b172 | None | planner-1
decision_service | decision_service.execute | 159b08fdf8a22a1ac37161a4ae136f6e | D-bc25c65be9994a07b172 | AX-D-bc25c65be9994a07b172 | None
decision_service | decision_service.propose | ae02ffa858b1aa5a43b787f1281849b6 | D-bc52a7baf7e24f6b98a1 | None | planner-1
decision_service | decision_service.execute | f05a567302aa3d7a78e1db5a5e5757c7 | D-bc52a7baf7e24f6b98a1 | AX-D-bc52a7baf7e24f6b98a1 | None
decision_service | decision_service.propose | 625662061e1b57e3ffdb27b8450b72c4 | D-4ef892428a62472a96cc | None | planner-1
decision_service | decision_service.execute | cba85bc4222c5acd6408c51b1a64d5fb | D-4ef892428a62472a96cc | AX-D-4ef892428a62472a96cc | None
decision_service | decision_service.propose | bab899eae227239de3ad84e267fac04c | D-7964779181c64cdd8e33 | None | planner-1
decision_service | decision_service.approve | 1462b2e12228ed3bf44d253a428c5dd9 | D-7964779181c64cdd8e33 | None | None
decision_service | decision_service.approve | fa3bbb4e646aac61143c9df6115836d4 | D-7964779181c64cdd8e33 | None | None
decision_service | decision_service.approve | d4721d75dc0358a8b01569bac1de4a79 | D-7964779181c64cdd8e33 | None | None
decision_service | decision_service.propose | f3d21309ad096cbb4d4a6f653b7ce64e | D-8fdb09df433a480fa9b6 | None | planner-1
decision_service | decision_service.execute | bcc4347d7b9210183cc42d30e054bbc7 | D-8fdb09df433a480fa9b6 | AX-D-8fdb09df433a480fa9b6 | None
decision_service | decision_service.propose | c074681c037db2e00708a1690b1338f4 | D-1d86407b955341a98030 | None | planner-1
decision_service | decision_service.execute | e0c1efeef474d82f3ef66d56fbe52390 | D-1d86407b955341a98030 | AX-D-1d86407b955341a98030 | None
decision_service | decision_service.propose | 9ef9910fcfbdb217e52c6f018ca911be | D-66b2cd1bca0547258c8d | None | agent-1
decision_service | decision_service.propose | 8c9f0931aff0d01840d39c42088213e9 | D-5cb814b350374821b765 | None | agent-1
decision_service | decision_service.execute | f0d0022abe4519a889e2eebac435c1d1 | D-5cb814b350374821b765 | None | None
decision_service | decision_service.propose | b24e7b673bbb7b676fba550a4ca85d0f | D-add65097244346cfbecb | None | agent-1
decision_service | decision_service.propose | 03842fd9816a5d1b62ba16f27183e366 | D-24eb8fc9f30245a4b593 | None | agent-1
decision_service | decision_service.propose | d5d4b29df450e8bd88f95c2c380d877c | D-41ee40e0250748c9a521 | None | agent-1
decision_service | decision_service.propose | bf347047bad478fdc782b43be8901649 | D-d85ed60ac40447c39ffb | None | agent-1
decision_service | decision_service.execute | 491fde7491d32a95f2988cb07aa5efe9 | D-d85ed60ac40447c39ffb | None | None
decision_service | decision_service.propose | ab6a462e69990ace8c378579b5fc4515 | D-d83752c0653740d08866 | None | planner-1
decision_service | decision_service.approve | 8d7435c0e669a787e7a4f8a917ee1e42 | D-d83752c0653740d08866 | None | None
decision_service | decision_service.approve | c545c8f6d631d077f47484ff58821471 | D-d83752c0653740d08866 | None | None
decision_service | decision_service.propose | c3cc88906df3c8e5bf6aaa91a91ba062 | D-a47e4b8603a24d64af11 | None | planner-1
decision_service | decision_service.propose | 90c9dfdc1f4c95685cdd57360bf0639a | D-1c230efd0f63403e80e0 | None | planner-1
decision_service | decision_service.approve | 777d8a0fa0a490a9008174157f282a20 | D-a47e4b8603a24d64af11 | None | None
decision_service | decision_service.propose | 4503acb47edbabd6b066527140d65486 | D-f4152daab3f640a4b063 | None | planner-1
decision_service | decision_service.execute | 6f2cf7624dfbb0066add42e8722e0802 | D-f4152daab3f640a4b063 | AX-D-f4152daab3f640a4b063 | None
decision_service | decision_service.execute | 3e390a48d43a01889ebb5f1c1fa3383a | D-f4152daab3f640a4b063 | AX-D-f4152daab3f640a4b063 | None
decision_service | decision_service.propose | 0563be113ad30e3982bc4dd5aa11097a | D-6d51da29031b4bbc9531 | None | planner-1
decision_service | decision_service.execute | 9f17a17a32703fb1a28b25de00b5a1c8 | D-6d51da29031b4bbc9531 | AX-D-6d51da29031b4bbc9531 | None
decision_service | decision_service.execute | a71db8417d5b5bd70e9e533be99c0ab3 | D-6d51da29031b4bbc9531 | AX-D-6d51da29031b4bbc9531 | None
decision_service | decision_service.propose | 4e280cf54ef1906d4542e62f3016916f | D-edb911991a584bca8dc4 | None | planner-1
decision_service | decision_service.approve | b86a3df550ffb4de6e8eb81a1c009d75 | D-edb911991a584bca8dc4 | None | None
decision_service | decision_service.propose | e72f87b3337b3e951224435837dec901 | D-f683a107020e4780b09d | None | planner-1
decision_service | decision_service.approve | 64c442d216c71678b111ffe891f1a99c | D-f683a107020e4780b09d | None | None
decision_service | decision_service.propose | ca4d3a9d854eaa07e955b74451790c8e | D-74581f63aa004e919c6c | None | planner-1
decision_service | decision_service.approve | 95a76a09d83f07b97880d8dddf402e96 | D-74581f63aa004e919c6c | None | None
decision_service | decision_service.propose | aa5e6de3d869b6a3ad4f56892c7ab469 | D-166d3bbe39444ed8b01d | None | planner-1
decision_service | decision_service.execute | e7703b93440951136e3cc3326ff0637b | D-166d3bbe39444ed8b01d | AX-D-166d3bbe39444ed8b01d | None
decision_service | decision_service.propose | 81c97062070dfed2daa9c89f6f164f0b | D-26b0b74340574658993a | None | planner-1
decision_service | decision_service.execute | 73b7425f294cc83889f5f058bf29cf94 | D-26b0b74340574658993a | AX-D-26b0b74340574658993a | None
decision_service | decision_service.propose | 70c783300735ed417a541c1b3c8b40aa | D-bdc24c9606f049bfa351 | None | planner-1
decision_service | decision_service.execute | 51e30a0146f1d0a5d237bd4eb29a0c85 | D-bdc24c9606f049bfa351 | AX-D-bdc24c9606f049bfa351 | None
decision_service | decision_service.propose | cfbdff17805ca5dad7b0d514fdc93c7b | D-646fea48f80848df8761 | None | planner-1
decision_service | decision_service.execute | 5b43d399bd5826edfbbede6a815a8a83 | D-646fea48f80848df8761 | AX-D-646fea48f80848df8761 | None
decision_service | decision_service.propose | 022110e2d7408951f08162561f029919 | D-2c5b804ed0b44839aaf1 | None | planner-1
decision_service | decision_service.propose | 29a3fe84e7be1a9d5811986ea272f94d | D-84ecfa2eb9e74dd9bf09 | None | planner-1
decision_service | decision_service.propose | 9c3568048e81257173d778ad0df4b5fc | D-2d964af55a994f68b2e3 | None | planner-1
decision_service | decision_service.propose | d3e2eb3c093c569ba9f1addf21ac798e | D-95399b72f39d46bfb002 | None | planner-1
decision_service | decision_service.execute | 0fd659e24ffd29d6e6dce5d9c2f5649a | D-95399b72f39d46bfb002 | AX-D-95399b72f39d46bfb002 | None
decision_service | decision_service.propose | de8a45c7ce3d7ae009f74025ee0e1cd6 | D-5ee0a8097f5f497abff9 | None | planner-1
decision_service | decision_service.propose | f88f1e7c704f2fbf4f26c5877ea1973d | D-8d3bfaf4c8cc48a3934f | None | planner-1
decision_service | decision_service.propose | b03be4474ed90733e0faab65f46876ef | D-9dcd96bcafc64446b664 | None | planner-1
decision_service | decision_service.propose | c367e495e32be784e451cdf7eb932ffb | D-1f0a99904569445d8488 | None | planner-1
decision_service | decision_service.propose | ee666c2e67c81743a42ae9ffdd2eec11 | D-d852e209935e47d192ed | None | planner-1
decision_service | decision_service.propose | 0a6d51a7b5670b423c9da6ec0e505ee4 | D-396d5784c12446c9865f | None | planner-1
decision_service | decision_service.propose | afc3e7770951801cac80da2b4c5884df | D-2a779737c2494213a7da | None | planner-1
decision_service | decision_service.propose | 00eedeae258f0e2353abb3568ce9a9f7 | D-802c6f86a0f84224ad78 | None | planner-1
decision_service | decision_service.propose | 6df76037fe996df1c9b5e91e3ba328c8 | D-ef2c2821205a4d62ba6c | None | planner-1
decision_service | decision_service.propose | b95623a8da342c798b2cc93252257bf2 | D-585da6e35d7c48fcabb4 | None | planner-1
decision_service | decision_service.propose | 56d24c39405354f3c17d438945ae3c0a | D-3fec47fa92f04c089d97 | None | planner-1
decision_service | decision_service.propose | 32cd537a3214564c8775650b4ec324ba | D-ab11b34a0b9a4693ae49 | None | planner-1
decision_service | decision_service.propose | 9eab6f88bf4c13dc4b13a4adc26b7067 | D-625130fc48f7421eb361 | None | planner-1
decision_service | decision_service.propose | ad1a061f04354af97c06f2959f0208dd | D-77f6fc1dce5e49d9bf21 | None | planner-1
decision_service | decision_service.propose | 3c301f4362426b6a18fff1d94acc49a3 | D-35dedca57eea4b638ba8 | None | planner-1
decision_service | decision_service.propose | 9c05daca15ac4ede959287f9ea22454d | D-e433d15f72594ff1afe6 | None | planner-1
decision_service | decision_service.execute | a4683cd9694682d29221af6927762631 | D-e433d15f72594ff1afe6 | AX-D-e433d15f72594ff1afe6 | None
decision_service | decision_service.propose | d753dc0aabfeea51bef7f0e9bfcc3650 | D-943e6d3867ca475387e9 | None | planner-1
decision_service | decision_service.propose | 0f78e537bbe9200038e48617516826c8 | D-3ca6bb1079a0469abf35 | None | planner-1
decision_service | decision_service.propose | 5a8ca25b6f7deeb9395fdd0b96cd0fec | D-ec3234f82436433a9368 | None | planner-1
decision_service | decision_service.propose | 8a6b382ad6fe8d6a60caa0356971205e | D-761020d049f54d9fbba1 | None | planner-1
decision_service | decision_service.execute | 942e703f3f97b00bccece525c8be12d7 | D-761020d049f54d9fbba1 | AX-D-761020d049f54d9fbba1 | None
decision_service | decision_service.propose | 0b36100643b1768be2e6923c64e90857 | D-972a786b183f45a0a634 | None | planner-1
decision_service | decision_service.propose | 1f3e71c835b5394c32f915b87cef5e29 | D-df068dfd551b44c5958b | None | planner-1
decision_service | decision_service.propose | bc6dcd16dcc5d39a79c9fdd883455a22 | D-762e9be22fe9414b8bd9 | None | planner-1
decision_service | decision_service.propose | 84889140aca81bbc9d32ff5f322baf75 | D-f3287f13f080416bbaa5 | None | planner-1
decision_service | decision_service.propose | 4d28c8727b9d3304d5451fa85087b014 | D-f9d4f4318e8648d8bfee | None | planner-1
decision_service | decision_service.propose | b6e0a231f816dab804b6ea2e28314a4b | D-e470f86eed80400abcb2 | None | planner-1
decision_service | decision_service.propose | d415b61b65d18fa79ba12b7818afa702 | D-235be23915f246a09e68 | None | planner-1
decision_service | decision_service.propose | af78f96a19f019af46a96e030bb84e94 | D-f1c80b2e0c3944a4a359 | None | planner-1
decision_service | decision_service.propose | 670351e51303c1e0b6e078bc4bcaac7b | D-0d6fb670caf34df9b6d8 | None | planner-1
decision_service | decision_service.propose | fca91f339f562ea1f56c5eb264d30056 | D-fd870c2144504b6d934f | None | planner-1
decision_service | decision_service.propose | 5b9b38432914fb4ee654d0a0d9890424 | D-7f1e5b7a60f34e108fa7 | None | planner-1
decision_service | decision_service.propose | 4377efab588f01ea1165d2f16a4e074f | D-8dd84e33e89b43948072 | None | planner-1
decision_service | decision_service.propose | b039ad72c49c3e24e5af9a50199a99ad | D-d7585a0021ab4aafa4d2 | None | planner-1
decision_service | decision_service.propose | bc2aa82b581d4c9d3b2f63089f71022a | D-17f864ef92614037a7eb | None | planner-1
decision_service | decision_service.propose | 70621b4a726d00f1ca540957197e20ba | D-b2c272f17a1945cda81c | None | planner-1
decision_service | decision_service.propose | 001b46572efbb86cb5dad28c2eb3ec28 | D-47b0bb3bb95343aa8617 | None | planner-1
decision_service | decision_service.propose | a3b3f52fcfebe355497cff14cde04c4d | D-41d76b9de9b740b99a9c | None | planner-1
